step,avg_activation_all,limbus_pleasure,limbus_arousal,limbus_dominance,limbus_activation,meta_creativus_activation,meta_criticus_activation,meta_metacognitio_activation,meta_metacognitio_jumps,avg_q_variance,total_q_jumps
0,0.1563656715545807,0.0,-1.0,-0.17949888781250004,0.475,0.39998389150341757,0.21594148093322807,0.16000000000000003,1,21.626,1
1,0.15504460692879962,0.0,-1.0,-0.22052394342187506,0.475,0.3990736904659123,0.20628316496448465,0.16000000000000003,1,13.52,1
2,0.15127735004623838,0.0,-1.0,-0.2994977462507813,0.455,0.3986008550984972,0.1966179452714098,0.16000000000000003,1,12.694,1
3,0.1631827911405439,0.0,-1.0,-0.1445228589382423,0.57,0.3986529372518141,0.17680939187253708,0.16000000000000003,1,12.77,1
4,0.17235897749082768,0.0,-1.0,0.0727032840086698,0.605,0.3999898613552715,0.21388195857135006,0.16000000000000003,1,22.552,1
5,0.1822734146482835,0.0,-1.0,0.3290681198082363,0.63,0.39995401526359803,0.26823330192267,0.16000000000000003,1,19.528,1
6,0.1585459460391318,0.0,-1.0,0.06261471381782446,0.375,0.39559784655601893,0.33776972175703546,0.16000000000000003,1,10.394,1
7,0.1375825257573502,0.0,-1.0,-0.3905160218730667,0.275,0.3999738895826183,0.26568631647618324,0.16000000000000003,1,20.66,1
8,0.1446714051124771,0.0,-1.0,-0.48099022077941334,0.445,0.3999990145276654,0.1523722263721516,0.16000000000000003,1,27.214,1
9,0.14437997197909494,0.0,-1.0,-0.5269407097404426,0.465,0.39885067588954914,0.13118909994321024,0.16000000000000003,1,13.088,1
10,0.15541081980454868,0.0,-1.0,-0.3705936742534206,0.565,0.399913056513999,0.1183735019223906,0.16000000000000003,1,18.254,1
